show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s1,Movie,Dickey Roberts: Former Child Star,Sam Weisman,"David Spade, Mary McCormack",United States,"September 5, 2021",2003,PG-13,98 min,Comedies,A former child star tries to revive his career.
s2,TV Show,Blood & Water,Unknown,"Ama Qamata, Khosi Ngema",South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,"International TV Shows, TV Dramas, Teen TV Shows",A teen investigates a mystery at an elite school.
s3,TV Show,Ganglands,Julien Leclercq,"Sami Bouajila, Tracy Gotoas",France,"September 24, 2021",2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure",A thief gets pulled into a turf war.
s4,Movie,The Starling,Theodore Melfi,"Melissa McCarthy, Chris O'Dowd",United States,"September 24, 2021",2021,PG-13,104 min,"Comedies, Dramas",A woman adjusts to life after a loss.
s5,TV Show,Kota Factory,Unknown,"Mayur More, Jitendra Kumar",India,"September 24, 2021",2021,TV-14,2 Seasons,"International TV Shows, Romantic TV Shows, TV Comedies",Students prepare for competitive exams.
s6,Movie,Sankofa,Haile Gerima,"Kofi Ghanaba, Oyafunmike Ogunlano","United States, Ghana","September 24, 2021",1993,TV-MA,125 min,"Dramas, Independent Movies, International Movies",A model is transported to the past.
s7,TV Show,Squid Game,Hwang Dong-hyuk,"Lee Jung-jae, Park Hae-soo",South Korea,"September 17, 2021",2021,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Thrillers",Players compete in deadly games.
s8,Movie,Jaws,Steven Spielberg,"Roy Scheider, Robert Shaw",United States,"September 16, 2021",1975,PG,124 min,"Classic Movies, Dramas, Thrillers",A shark terrorizes a beach town.
s9,Movie,Training Day,Antoine Fuqua,"Denzel Washington, Ethan Hawke",United States,"September 16, 2021",2001,R,122 min,"Dramas, Thrillers",A rookie cop spends a day with a corrupt detective.
s10,TV Show,Lucifer,Unknown,"Tom Ellis, Lauren German",United States,"September 10, 2021",2021,TV-14,6 Seasons,"Crime TV Shows, TV Comedies, TV Dramas",The devil starts over in Los Angeles.
s11,Movie,Sample Netflix Title 11,M. Lee,Unknown,India,"November 2, 2018",1994,TV-PG,84 min,"Dramas, Reality TV, Documentaries",Sample description created for educational EDA analysis.
s12,Movie,Sample Netflix Title 12,Unknown,Unknown,Mexico,"July 3, 2018",1990,TV-Y7,105 min,Thrillers,Sample description created for educational EDA analysis.
s13,Movie,Sample Netflix Title 13,M. Lee,Unknown,Brazil,"November 19, 2020",1999,TV-Y7,82 min,Documentaries,Sample description created for educational EDA analysis.
s14,Movie,Sample Netflix Title 14,A. Director,Unknown,Mexico,"March 10, 2021",2020,TV-14,128 min,"Action & Adventure, Reality TV, International Movies",Sample description created for educational EDA analysis.
s15,Movie,Sample Netflix Title 15,M. Lee,Unknown,Germany,"April 12, 2020",2021,TV-14,87 min,"Dramas, Thrillers, Documentaries",Sample description created for educational EDA analysis.
s16,TV Show,Sample Netflix Title 16,R. Kumar,Unknown,France,"June 15, 2018",2019,PG-13,8 Seasons,Romantic Movies,Sample description created for educational EDA analysis.
s17,Movie,Sample Netflix Title 17,R. Kumar,Unknown,Germany,"May 17, 2019",1990,TV-Y,138 min,"Thrillers, Comedies",Sample description created for educational EDA analysis.
s18,Movie,Sample Netflix Title 18,A. Director,Unknown,Spain,"March 25, 2018",2017,TV-Y7,118 min,Horror Movies,Sample description created for educational EDA analysis.
s19,Movie,Sample Netflix Title 19,R. Kumar,Unknown,Brazil,"June 11, 2019",2020,TV-Y,163 min,"Crime TV Shows, Comedies, Horror Movies",Sample description created for educational EDA analysis.
s20,Movie,Sample Netflix Title 20,R. Kumar,Unknown,Nigeria,"November 3, 2020",2015,TV-Y,82 min,"Romantic Movies, TV Dramas",Sample description created for educational EDA analysis.
s21,Movie,Sample Netflix Title 21,Unknown,Unknown,Spain,"June 6, 2018",1986,TV-MA,153 min,Action & Adventure,Sample description created for educational EDA analysis.
s22,Movie,Sample Netflix Title 22,Unknown,Unknown,United Kingdom,"July 28, 2018",2000,TV-Y,138 min,"Reality TV, Action & Adventure",Sample description created for educational EDA analysis.
s23,Movie,Sample Netflix Title 23,S. Johnson,Unknown,Japan,"September 9, 2021",2012,TV-Y7,165 min,International Movies,Sample description created for educational EDA analysis.
s24,Movie,Sample Netflix Title 24,Unknown,Unknown,Spain,"April 22, 2016",1996,R,104 min,"Action & Adventure, Dramas",Sample description created for educational EDA analysis.
s25,Movie,Sample Netflix Title 25,R. Kumar,Unknown,United Kingdom,"June 20, 2019",2011,TV-MA,147 min,"Horror Movies, Reality TV",Sample description created for educational EDA analysis.
s26,TV Show,Sample Netflix Title 26,S. Johnson,Unknown,United States,"July 4, 2018",2010,PG-13,8 Seasons,Documentaries,Sample description created for educational EDA analysis.
s27,TV Show,Sample Netflix Title 27,Unknown,Unknown,United States,"June 20, 2015",1995,R,1 Seasons,"Comedies, Children & Family Movies, Thrillers",Sample description created for educational EDA analysis.
s28,Movie,Sample Netflix Title 28,A. Director,Unknown,Nigeria,"April 20, 2021",1989,PG,123 min,"Thrillers, Children & Family Movies",Sample description created for educational EDA analysis.
s29,TV Show,Sample Netflix Title 29,S. Johnson,Unknown,France,"August 15, 2015",1992,TV-14,8 Seasons,Comedies,Sample description created for educational EDA analysis.
s30,Movie,Sample Netflix Title 30,Unknown,Unknown,Canada,"December 6, 2018",2001,TV-PG,141 min,Romantic Movies,Sample description created for educational EDA analysis.
s31,TV Show,Sample Netflix Title 31,R. Kumar,Unknown,Mexico,"September 10, 2021",1986,TV-PG,2 Seasons,Children & Family Movies,Sample description created for educational EDA analysis.
s32,Movie,Sample Netflix Title 32,A. Director,Unknown,Brazil,"September 11, 2019",2019,PG-13,156 min,TV Dramas,Sample description created for educational EDA analysis.
s33,Movie,Sample Netflix Title 33,Unknown,Unknown,France,"August 12, 2019",1997,TV-Y,78 min,"Documentaries, Thrillers",Sample description created for educational EDA analysis.
s34,Movie,Sample Netflix Title 34,Unknown,Unknown,Canada,"December 12, 2021",2013,TV-14,121 min,Crime TV Shows,Sample description created for educational EDA analysis.
s35,Movie,Sample Netflix Title 35,Unknown,Unknown,Spain,"August 20, 2016",2006,TV-PG,153 min,"Comedies, Horror Movies, Romantic Movies",Sample description created for educational EDA analysis.
